Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,-0.121693,0.568378,0.572323
1,0.008333,-0.121468,0.56813,0.571606
2,0.016667,-0.121428,0.56798,0.570908
3,0.025,-0.12142,0.567815,0.570349
4,0.033333,-0.121349,0.567612,0.569561
5,0.041667,-0.121409,0.567397,0.568823
6,0.05,-0.121449,0.567404,0.567976
7,0.058333,-0.12148,0.567248,0.567331
8,0.066667,-0.121572,0.567088,0.566562
9,0.075,-0.121636,0.567063,0.565756
10,0.083333,-0.122002,0.567,0.56515
11,0.091667,-0.121745,0.567081,0.564103
12,0.1,-0.121799,0.566881,0.563298
13,0.108333,-0.122211,0.566942,0.562661
14,0.116667,-0.12189,0.566931,0.561588
15,0.125,-0.121949,0.566866,0.560713
16,0.133333,-0.121971,0.566943,0.559748
17,0.141667,-0.12231,0.566931,0.559022
18,0.15,-0.122343,0.567007,0.558192
19,0.158333,-0.12233,0.566984,0.55728
20,0.166667,-0.122433,0.567041,0.556363
21,0.175,-0.122462,0.567187,0.555373
22,0.183333,-0.122298,0.567295,0.554319
23,0.191667,-0.122443,0.567344,0.55347
24,0.2,-0.122537,0.567278,0.552612
25,0.208333,-0.123014,0.567379,0.551969
26,0.216667,-0.123245,0.567452,0.551219
27,0.225,-0.123356,0.567485,0.550388
28,0.233333,-0.123539,0.567583,0.549633
29,0.241667,-0.123769,0.567672,0.54885
30,0.25,-0.123964,0.567856,0.548122
31,0.258333,-0.124101,0.568044,0.547339
32,0.266667,-0.124355,0.568314,0.546665
33,0.275,-0.124591,0.568625,0.545926
34,0.283333,-0.124812,0.568902,0.545205
35,0.291667,-0.125081,0.569234,0.544497
36,0.3,-0.125325,0.569497,0.543849
37,0.308333,-0.125613,0.569868,0.543182
38,0.316667,-0.125872,0.570219,0.542506
39,0.325,-0.126146,0.57062,0.541821
40,0.333333,-0.126404,0.571059,0.541199
41,0.341667,-0.126664,0.571527,0.540556
42,0.35,-0.12691,0.572056,0.539971
43,0.358333,-0.127183,0.572701,0.539432
44,0.366667,-0.127418,0.573326,0.538912
45,0.375,-0.127563,0.573938,0.538389
46,0.383333,-0.127832,0.574682,0.537835
47,0.391667,-0.128013,0.57532,0.53735
48,0.4,-0.128115,0.576201,0.536784
49,0.408333,-0.128188,0.576873,0.536331
50,0.416667,-0.12836,0.577504,0.535873
51,0.425,-0.128429,0.578192,0.53538
52,0.433333,-0.12859,0.578913,0.534989
53,0.441667,-0.128713,0.579787,0.534608
54,0.45,-0.128782,0.580479,0.534235
55,0.458333,-0.128879,0.581486,0.533698
56,0.466667,-0.12898,0.582366,0.533359
57,0.475,-0.128661,0.583072,0.532842
58,0.483333,-0.128988,0.584045,0.532777
59,0.491667,-0.129029,0.58484,0.53267
60,0.5,-0.129237,0.585653,0.532478
61,0.508333,-0.129217,0.586896,0.532229
62,0.516667,-0.129445,0.587628,0.532058
63,0.525,-0.129557,0.588315,0.53199
64,0.533333,-0.129707,0.589126,0.531888
65,0.541667,-0.129787,0.59019,0.531834
66,0.55,-0.129871,0.59088,0.531906
67,0.558333,-0.130005,0.592004,0.531789
68,0.566667,-0.130151,0.592696,0.531888
69,0.575,-0.130248,0.593649,0.532018
70,0.583333,-0.130354,0.594292,0.532237
71,0.591667,-0.130531,0.595363,0.532319
72,0.6,-0.130625,0.596071,0.532577
73,0.608333,-0.130683,0.59692,0.532707
74,0.616667,-0.130858,0.597978,0.532879
75,0.625,-0.130942,0.598674,0.533177
76,0.633333,-0.131033,0.599637,0.533374
77,0.641667,-0.131041,0.600441,0.533612
78,0.65,-0.131111,0.600395,0.534398
79,0.658333,-0.131222,0.601277,0.534665
80,0.666667,-0.131191,0.603062,0.534415
81,0.675,-0.131313,0.604006,0.534713
82,0.683333,-0.131284,0.60485,0.53509
83,0.691667,-0.131308,0.604948,0.535877
84,0.7,-0.131352,0.605839,0.536178
85,0.708333,-0.131267,0.606812,0.536535
86,0.716667,-0.131372,0.607679,0.536878
87,0.725,-0.13133,0.608562,0.537268
88,0.733333,-0.131151,0.609498,0.537537
89,0.741667,-0.131244,0.610434,0.537976
90,0.75,-0.131125,0.611246,0.538327
91,0.758333,-0.130979,0.612156,0.538573
92,0.766667,-0.13094,0.613017,0.538864
93,0.775,-0.131295,0.613843,0.539407
94,0.783333,-0.131219,0.614574,0.539631
95,0.791667,-0.131432,0.616309,0.53955
96,0.8,-0.13134,0.616206,0.540312
97,0.808333,-0.131469,0.616916,0.540607
98,0.816667,-0.131605,0.618378,0.54081
99,0.825,-0.131637,0.618377,0.541276
100,0.833333,-0.131646,0.619727,0.541258
101,0.841667,-0.131861,0.620436,0.541552
102,0.85,-0.131933,0.620967,0.541749
103,0.858333,-0.13196,0.621495,0.541968
104,0.866667,-0.131988,0.621906,0.542094
105,0.875,-0.132244,0.622418,0.542308
106,0.883333,-0.132461,0.622876,0.542551
107,0.891667,-0.132601,0.623207,0.542686
108,0.9,-0.132768,0.623598,0.542791
109,0.908333,-0.132918,0.62318,0.543257
110,0.916667,-0.133143,0.624293,0.543021
111,0.925,-0.133389,0.624695,0.543158
112,0.933333,-0.133688,0.624993,0.543316
