Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,-0.01382,0.671879,1.057711
1,0.008333,-0.013976,0.672824,1.058773
2,0.016667,-0.01421,0.673667,1.0599
3,0.025,-0.014411,0.674613,1.060963
4,0.033333,-0.014661,0.675519,1.06201
5,0.041667,-0.01494,0.676378,1.063089
6,0.05,-0.015199,0.677283,1.06406
7,0.058333,-0.015512,0.678266,1.065143
8,0.066667,-0.015833,0.67921,1.0662
9,0.075,-0.016146,0.680225,1.067182
10,0.083333,-0.016512,0.681145,1.068148
11,0.091667,-0.016823,0.682123,1.069046
12,0.1,-0.017287,0.683177,1.070057
13,0.108333,-0.017768,0.68421,1.070954
14,0.116667,-0.018342,0.685398,1.071987
15,0.125,-0.018901,0.686588,1.072914
16,0.133333,-0.019482,0.687813,1.073884
17,0.141667,-0.020005,0.689093,1.074871
18,0.15,-0.020398,0.690387,1.075849
19,0.158333,-0.020747,0.691677,1.0768
20,0.166667,-0.02099,0.693062,1.077796
21,0.175,-0.021339,0.694236,1.078548
22,0.183333,-0.021447,0.695683,1.079692
23,0.191667,-0.021711,0.696848,1.080433
24,0.2,-0.021794,0.698198,1.081501
25,0.208333,-0.022062,0.699626,1.08258
26,0.216667,-0.022296,0.700603,1.08318
27,0.225,-0.022441,0.702063,1.084373
28,0.233333,-0.022708,0.703422,1.085472
29,0.241667,-0.022984,0.704899,1.086626
30,0.25,-0.023285,0.706484,1.087836
31,0.258333,-0.023286,0.707417,1.087387
32,0.266667,-0.025124,0.712666,1.09298
33,0.275,-0.025262,0.713773,1.094077
34,0.283333,-0.025353,0.714981,1.094828
35,0.291667,-0.025389,0.716136,1.095342
36,0.3,-0.0255,0.717177,1.095461
37,0.308333,-0.025469,0.718299,1.095774
38,0.316667,-0.025446,0.719378,1.095813
39,0.325,-0.022841,0.712588,1.089177
40,0.333333,-0.022882,0.713665,1.089419
41,0.341667,-0.022846,0.714796,1.089597
42,0.35,-0.022837,0.715811,1.089733
43,0.358333,-0.025461,0.724756,1.096642
44,0.366667,-0.02546,0.725781,1.09649
45,0.375,-0.025515,0.726557,1.096148
46,0.383333,-0.025455,0.727184,1.095725
47,0.391667,-0.02531,0.727659,1.095197
48,0.4,-0.02509,0.728022,1.094558
49,0.408333,-0.024846,0.728245,1.093831
50,0.416667,-0.024574,0.728465,1.093121
51,0.425,-0.024333,0.728757,1.092288
52,0.433333,-0.024157,0.729015,1.091417
53,0.441667,-0.023919,0.729692,1.090263
54,0.45,-0.023764,0.729572,1.089646
55,0.458333,-0.023633,0.72997,1.088857
56,0.466667,-0.023506,0.730352,1.088147
57,0.475,-0.023394,0.730815,1.087431
58,0.483333,-0.023317,0.731394,1.086717
59,0.491667,-0.023244,0.732012,1.086023
60,0.5,-0.023227,0.732813,1.085453
61,0.508333,-0.023096,0.7334,1.084812
62,0.516667,-0.023035,0.73399,1.084206
63,0.525,-0.02293,0.734517,1.083598
64,0.533333,-0.022827,0.73502,1.082992
65,0.541667,-0.022761,0.735506,1.082422
66,0.55,-0.02316,0.735558,1.082306
67,0.558333,-0.023221,0.736126,1.08162
68,0.566667,-0.023122,0.736627,1.081028
69,0.575,-0.023159,0.737206,1.080445
70,0.583333,-0.022637,0.738169,1.079434
71,0.591667,-0.022615,0.738743,1.078931
72,0.6,-0.022623,0.739214,1.078568
73,0.608333,-0.022729,0.740048,1.077875
74,0.616667,-0.022734,0.740652,1.0774
75,0.625,-0.0227,0.741335,1.076877
76,0.633333,-0.022653,0.74196,1.076387
77,0.641667,-0.022588,0.742535,1.075908
78,0.65,-0.022586,0.7429,1.075644
79,0.658333,-0.022558,0.743585,1.074958
80,0.666667,-0.022598,0.743925,1.074689
81,0.675,-0.023183,0.744772,1.074204
82,0.683333,-0.023312,0.745573,1.073531
83,0.691667,-0.023377,0.746028,1.073121
84,0.7,-0.022813,0.746038,1.072781
85,0.708333,-0.023582,0.747167,1.07228
86,0.716667,-0.0243,0.747565,1.072211
87,0.725,-0.024382,0.748191,1.071809
88,0.733333,-0.024517,0.748847,1.071474
89,0.741667,-0.024738,0.749566,1.071169
90,0.75,-0.025109,0.750317,1.070879
91,0.758333,-0.025354,0.751075,1.070593
92,0.766667,-0.025015,0.751476,1.070364
93,0.775,-0.026025,0.752738,1.070082
94,0.783333,-0.026412,0.753361,1.069959
95,0.791667,-0.026773,0.754216,1.069729
96,0.8,-0.027011,0.75495,1.069571
97,0.808333,-0.027289,0.755796,1.06936
98,0.816667,-0.027523,0.756524,1.069218
99,0.825,-0.027764,0.757364,1.068998
100,0.833333,-0.027953,0.758061,1.06881
101,0.841667,-0.028135,0.758738,1.068643
102,0.85,-0.028429,0.759447,1.068425
103,0.858333,-0.028535,0.760181,1.068162
104,0.866667,-0.028114,0.760566,1.06786
105,0.875,-0.028192,0.761151,1.067559
106,0.883333,-0.02832,0.761786,1.067204
107,0.891667,-0.028508,0.762386,1.066778
108,0.9,-0.028394,0.762772,1.066356
109,0.908333,-0.028377,0.763198,1.065801
110,0.916667,-0.028363,0.763434,1.06523
111,0.925,-0.028119,0.763522,1.064554
112,0.933333,-0.028102,0.763384,1.063822
113,0.941667,-0.027885,0.763017,1.063009
114,0.95,-0.027833,0.762428,1.062025
115,0.958333,-0.027617,0.761691,1.061159
116,0.966667,-0.027584,0.760649,1.060161
117,0.975,-0.027416,0.759116,1.059178
118,0.983333,-0.027497,0.757444,1.058085
119,0.991667,-0.027595,0.755622,1.056854
120,1.0,-0.028451,0.754142,1.055267
121,1.008333,-0.029654,0.752445,1.05365
122,1.016667,-0.030646,0.750725,1.051903
123,1.025,-0.02737,0.74636,1.051901
124,1.033333,-0.027442,0.742627,1.050004
125,1.041667,-0.027198,0.739435,1.048558
126,1.05,-0.026788,0.736189,1.047129
127,1.058333,-0.026425,0.732581,1.045818
128,1.066667,-0.025919,0.729117,1.044491
129,1.075,-0.025413,0.725555,1.043414
130,1.083333,-0.024922,0.722211,1.042444
131,1.091667,-0.024368,0.719159,1.041528
132,1.1,-0.023794,0.716308,1.040773
133,1.108333,-0.023167,0.713827,1.040157
134,1.116667,-0.022591,0.71181,1.03981
135,1.125,-0.022001,0.710203,1.039652
136,1.133333,-0.021138,0.710061,1.03927
137,1.141667,-0.020589,0.709644,1.03964
138,1.15,-0.020074,0.709749,1.040377
139,1.158333,-0.019687,0.710416,1.041262
140,1.166667,-0.019231,0.711694,1.042521
141,1.175,-0.018561,0.713244,1.044235
142,1.183333,-0.018035,0.716354,1.046219
143,1.191667,-0.017327,0.719424,1.048519
144,1.2,-0.016906,0.72481,1.050851
145,1.208333,-0.015686,0.730277,1.053567
146,1.216667,-0.014728,0.737192,1.056264
147,1.225,-0.014062,0.745395,1.059129
148,1.233333,-0.012525,0.753572,1.061946
149,1.241667,-0.011147,0.76351,1.064832
150,1.25,-0.009559,0.773207,1.067575
151,1.258333,-0.007912,0.783354,1.069978
152,1.266667,-0.006171,0.793522,1.07218
153,1.275,-0.004339,0.804485,1.073774
154,1.283333,-0.00243,0.815982,1.074799
155,1.291667,-0.00079,0.826443,1.074952
156,1.3,0.001429,0.837398,1.075088
157,1.308333,0.003718,0.848174,1.07481
158,1.316667,0.006118,0.858596,1.074395
159,1.325,0.008602,0.868551,1.073858
160,1.333333,0.011338,0.8782,1.073147
161,1.341667,0.01431,0.88701,1.072442
162,1.35,0.017258,0.895328,1.071845
163,1.358333,0.020181,0.902752,1.071484
164,1.366667,0.023031,0.90919,1.071298
165,1.375,0.025972,0.914713,1.071187
166,1.383333,0.028825,0.919167,1.071226
167,1.391667,0.031783,0.922544,1.071436
168,1.4,0.034869,0.925049,1.071396
169,1.408333,0.037917,0.926468,1.071367
170,1.416667,0.04093,0.92691,1.071271
171,1.425,0.043918,0.926505,1.071315
172,1.433333,0.046623,0.92502,1.071156
173,1.441667,0.049334,0.922904,1.071153
174,1.45,0.0519,0.920081,1.071209
175,1.458333,0.054321,0.916565,1.071394
176,1.466667,0.056627,0.912743,1.071675
177,1.475,0.058805,0.908322,1.072236
178,1.483333,0.060924,0.903544,1.072886
179,1.491667,0.062949,0.898684,1.073915
180,1.5,0.06491,0.893692,1.075155
181,1.508333,0.067057,0.888649,1.076581
182,1.516667,0.068752,0.884172,1.078552
183,1.525,0.071111,0.879417,1.080751
184,1.533333,0.073864,0.87566,1.083048
185,1.541667,0.076371,0.871703,1.085834
186,1.55,0.07953,0.869069,1.08866
187,1.558333,0.08265,0.866289,1.091689
188,1.566667,0.086286,0.863786,1.094624
189,1.575,0.089502,0.861634,1.097817
190,1.583333,0.092946,0.859256,1.100481
191,1.591667,0.096062,0.857567,1.103163
192,1.6,0.099259,0.856654,1.105844
193,1.608333,0.103092,0.855164,1.107657
194,1.616667,0.106757,0.854949,1.109852
195,1.625,0.110215,0.855181,1.111385
196,1.633333,0.112771,0.85655,1.112013
197,1.641667,0.116429,0.856697,1.113518
198,1.65,0.118958,0.857996,1.11445
199,1.658333,0.120721,0.859387,1.114616
200,1.666667,0.123684,0.861405,1.114677
201,1.675,0.125617,0.862823,1.115788
202,1.683333,0.127406,0.864577,1.1169
203,1.691667,0.129155,0.866256,1.118135
204,1.7,0.130759,0.867983,1.119461
205,1.708333,0.132214,0.869837,1.12068
206,1.716667,0.13352,0.871765,1.121797
207,1.725,0.13475,0.873786,1.122753
208,1.733333,0.135946,0.875835,1.123388
209,1.741667,0.137183,0.877995,1.124103
210,1.75,0.138585,0.879925,1.12427
211,1.758333,0.139852,0.881858,1.124463
212,1.766667,0.141182,0.883819,1.12465
213,1.775,0.142711,0.885481,1.124523
214,1.783333,0.144429,0.887242,1.124027
215,1.791667,0.145961,0.888765,1.123729
216,1.8,0.147475,0.889763,1.123323
217,1.808333,0.147443,0.885499,1.126508
218,1.816667,0.148726,0.886342,1.126423
219,1.825,0.149879,0.887151,1.12648
220,1.833333,0.151101,0.88784,1.126527
221,1.841667,0.152293,0.888448,1.126574
222,1.85,0.15336,0.889118,1.126742
223,1.858333,0.155819,0.894716,1.123377
224,1.866667,0.156546,0.895555,1.123688
225,1.875,0.157318,0.895945,1.123942
226,1.883333,0.158233,0.896243,1.123565
227,1.891667,0.158799,0.896594,1.123598
228,1.9,0.159491,0.896785,1.123539
229,1.908333,0.160503,0.896253,1.123088
230,1.916667,0.161159,0.896292,1.123116
231,1.925,0.161785,0.896157,1.123119
232,1.933333,0.162439,0.895996,1.122958
233,1.941667,0.162785,0.895718,1.122789
234,1.95,0.162351,0.896932,1.122799
235,1.958333,0.162694,0.896289,1.122484
236,1.966667,0.162805,0.896367,1.122369
237,1.975,0.162936,0.89696,1.122335
238,1.983333,0.163154,0.89703,1.122202
239,1.991667,0.163469,0.896596,1.121918
240,2.0,0.163589,0.896802,1.12188
241,2.008333,0.163565,0.897122,1.121899
242,2.016667,0.163765,0.897104,1.121851
243,2.025,0.163317,0.897492,1.122479
244,2.033333,0.163971,0.897421,1.121817
245,2.041667,0.164046,0.897518,1.122019
246,2.05,0.164227,0.897555,1.122281
247,2.058333,0.164484,0.897564,1.122581
248,2.066667,0.165592,0.893615,1.120997
249,2.075,0.165964,0.893818,1.121302
250,2.083333,0.166404,0.894073,1.121674
251,2.091667,0.166913,0.894355,1.122123
252,2.1,0.16749,0.894663,1.122582
253,2.108333,0.168041,0.894998,1.123085
254,2.116667,0.168604,0.895383,1.123573
255,2.125,0.169189,0.8956,1.124066
256,2.133333,0.169934,0.895754,1.124578
257,2.141667,0.170398,0.895705,1.12487
258,2.15,0.170966,0.895391,1.125032
259,2.158333,0.171586,0.894919,1.125013
260,2.166667,0.172196,0.894184,1.124807
261,2.175,0.172807,0.893172,1.124377
262,2.183333,0.173369,0.891938,1.123722
263,2.191667,0.17319,0.894718,1.124841
264,2.2,0.173693,0.893037,1.123805
265,2.208333,0.174123,0.891208,1.122631
266,2.216667,0.1746,0.889169,1.121251
267,2.225,0.175106,0.886885,1.119704
268,2.233333,0.175623,0.884402,1.117944
269,2.241667,0.176248,0.881759,1.115989
270,2.25,0.176894,0.878915,1.113804
271,2.258333,0.177582,0.875795,1.11139
272,2.266667,0.178314,0.872412,1.108771
273,2.275,0.179046,0.868805,1.1059
274,2.283333,0.179782,0.864795,1.102751
275,2.291667,0.180557,0.860503,1.099393
276,2.3,0.181448,0.85569,1.095521
277,2.308333,0.182436,0.850881,1.091966
278,2.316667,0.183562,0.84585,1.088237
279,2.325,0.184749,0.840569,1.084467
280,2.333333,0.186049,0.835279,1.080677
281,2.341667,0.187461,0.829832,1.076823
282,2.35,0.188983,0.824246,1.073075
283,2.358333,0.1906,0.818639,1.069359
284,2.366667,0.192228,0.813026,1.065709
285,2.375,0.193942,0.807527,1.062325
286,2.383333,0.195668,0.801927,1.058876
287,2.391667,0.197283,0.796584,1.05583
288,2.4,0.198775,0.791204,1.05287
289,2.408333,0.199977,0.785864,1.050125
290,2.416667,0.201163,0.780608,1.047354
291,2.425,0.201928,0.775184,1.044786
292,2.433333,0.2026,0.769854,1.042344
293,2.441667,0.203042,0.764502,1.040007
294,2.45,0.203456,0.759305,1.037757
295,2.458333,0.203733,0.754089,1.035696
296,2.466667,0.203956,0.749056,1.033804
297,2.475,0.204211,0.744178,1.032026
298,2.483333,0.204561,0.739521,1.0304
299,2.491667,0.20534,0.735577,1.028407
300,2.5,0.205838,0.731293,1.026889
301,2.508333,0.206379,0.727134,1.025562
302,2.516667,0.206948,0.723057,1.024339
303,2.525,0.207479,0.718993,1.023176
304,2.533333,0.207995,0.71496,1.022088
305,2.541667,0.208504,0.710919,1.021076
306,2.55,0.208968,0.706958,1.020174
307,2.558333,0.209287,0.70322,1.019523
308,2.566667,0.209659,0.69938,1.018687
309,2.575,0.210003,0.695901,1.01815
310,2.583333,0.210046,0.6919,1.01783
311,2.591667,0.210905,0.689314,1.017062
312,2.6,0.2114,0.686492,1.016954
313,2.608333,0.211886,0.683697,1.016758
314,2.616667,0.213771,0.676375,1.013748
315,2.625,0.214147,0.673829,1.013533
316,2.633333,0.214372,0.671333,1.013232
317,2.641667,0.214541,0.668917,1.012934
318,2.65,0.21464,0.666586,1.012667
319,2.658333,0.214701,0.664298,1.012474
320,2.666667,0.214704,0.662127,1.012266
321,2.675,0.214669,0.660069,1.012056
322,2.683333,0.214605,0.658061,1.011924
323,2.691667,0.214505,0.656194,1.011796
324,2.7,0.214412,0.654412,1.011678
325,2.708333,0.214315,0.652734,1.01154
326,2.716667,0.214228,0.651153,1.011358
327,2.725,0.214016,0.648799,1.011743
328,2.733333,0.214102,0.648187,1.011068
329,2.741667,0.213818,0.645992,1.01136
330,2.75,0.213902,0.645508,1.01066
331,2.758333,0.213843,0.644304,1.010495
332,2.766667,0.213744,0.643182,1.010361
333,2.775,0.213767,0.642179,1.010375
334,2.783333,0.213605,0.641213,1.010224
335,2.791667,0.213431,0.640323,1.010065
336,2.8,0.213243,0.63948,1.009936
337,2.808333,0.21302,0.63872,1.009772
338,2.816667,0.21278,0.638001,1.009618
339,2.825,0.212526,0.637343,1.009414
340,2.833333,0.212282,0.636723,1.009191
341,2.841667,0.212058,0.636138,1.008925
342,2.85,0.211789,0.635551,1.008598
343,2.858333,0.211596,0.634989,1.00831
344,2.866667,0.211472,0.634526,1.008124
345,2.875,0.21132,0.634135,1.007866
346,2.883333,0.21118,0.633811,1.007592
347,2.891667,0.21103,0.633553,1.007349
348,2.9,0.210899,0.633337,1.007142
349,2.908333,0.21073,0.633123,1.006868
350,2.916667,0.210609,0.632983,1.006671
351,2.925,0.210493,0.632869,1.006478
352,2.933333,0.210374,0.632791,1.006277
353,2.941667,0.210308,0.632783,1.006134
354,2.95,0.210168,0.632744,1.005935
355,2.958333,0.210038,0.632774,1.005763
356,2.966667,0.209729,0.631992,1.006104
357,2.975,0.209742,0.632901,1.005371
358,2.983333,0.209588,0.633009,1.005195
359,2.991667,0.209305,0.633048,1.004858
360,3.0,0.209136,0.633203,1.00464
361,3.008333,0.208973,0.633399,1.004432
362,3.016667,0.208824,0.633619,1.004227
363,3.025,0.208683,0.633859,1.004012
364,3.033333,0.208553,0.634098,1.0038
365,3.041667,0.208435,0.634359,1.003591
366,3.05,0.20835,0.634605,1.003386
367,3.058333,0.20825,0.63484,1.003189
368,3.066667,0.208166,0.635083,1.002985
369,3.075,0.208094,0.635316,1.002783
370,3.083333,0.208024,0.635593,1.002571
371,3.091667,0.207956,0.635888,1.002357
372,3.1,0.207882,0.636221,1.002164
