Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,0.106781,0.604065,1.353529
1,0.008333,0.106581,0.60392,1.354051
2,0.016667,0.10658,0.603503,1.354314
3,0.025,0.106518,0.603164,1.354611
4,0.033333,0.106423,0.602848,1.354958
5,0.041667,0.106405,0.602594,1.355311
6,0.05,0.106312,0.60229,1.35561
7,0.058333,0.106257,0.601904,1.355887
8,0.066667,0.106195,0.601649,1.356177
9,0.075,0.106113,0.601343,1.356459
10,0.083333,0.106045,0.601016,1.356697
11,0.091667,0.105949,0.60076,1.356944
12,0.1,0.105869,0.600458,1.35722
13,0.108333,0.105855,0.600249,1.357541
14,0.116667,0.105768,0.599957,1.357814
15,0.125,0.105701,0.599568,1.358094
16,0.133333,0.105667,0.599186,1.358369
17,0.141667,0.105576,0.598816,1.358677
18,0.15,0.105543,0.598555,1.358921
19,0.158333,0.105482,0.598262,1.359154
20,0.166667,0.105416,0.597974,1.359416
21,0.175,0.105376,0.59767,1.359687
22,0.183333,0.105322,0.597348,1.359954
23,0.191667,0.105263,0.597234,1.360283
24,0.2,0.10525,0.596865,1.360573
25,0.208333,0.105306,0.596302,1.360612
26,0.216667,0.105161,0.596174,1.361103
27,0.225,0.10512,0.59585,1.361371
28,0.233333,0.10522,0.595303,1.361374
29,0.241667,0.104894,0.595273,1.361736
30,0.25,0.105063,0.594686,1.361786
31,0.258333,0.105114,0.594316,1.362074
32,0.266667,0.105078,0.593853,1.362272
33,0.275,0.105215,0.593566,1.362651
34,0.283333,0.105281,0.593173,1.362923
35,0.291667,0.104942,0.593296,1.363158
36,0.3,0.104804,0.592913,1.363341
37,0.308333,0.104904,0.592665,1.363626
38,0.316667,0.104905,0.592344,1.363846
39,0.325,0.104895,0.592057,1.364073
40,0.333333,0.104897,0.591725,1.364289
41,0.341667,0.106054,0.590612,1.364959
42,0.35,0.109172,0.587652,1.367091
43,0.358333,0.10918,0.587302,1.367243
44,0.366667,0.109176,0.586875,1.367392
45,0.375,0.104895,0.590166,1.365139
46,0.383333,0.109337,0.586461,1.367846
47,0.391667,0.105015,0.589769,1.365546
48,0.4,0.105069,0.589499,1.365731
49,0.408333,0.104961,0.589158,1.365845
50,0.416667,0.106279,0.588164,1.366622
51,0.425,0.105009,0.588841,1.366256
52,0.433333,0.106376,0.587511,1.366965
53,0.441667,0.105178,0.58838,1.366711
54,0.45,0.105221,0.587971,1.366876
55,0.458333,0.105403,0.587501,1.366839
56,0.466667,0.110155,0.58359,1.370091
57,0.475,0.105332,0.58748,1.367468
58,0.483333,0.105328,0.587182,1.367673
59,0.491667,0.10527,0.587064,1.367806
60,0.5,0.105359,0.58655,1.36769
61,0.508333,0.105354,0.586598,1.36808
62,0.516667,0.105416,0.58622,1.368353
63,0.525,0.105587,0.586046,1.368679
64,0.533333,0.105669,0.585845,1.368942
65,0.541667,0.105769,0.585602,1.369191
66,0.55,0.105918,0.585117,1.36924
67,0.558333,0.105976,0.584879,1.36947
68,0.566667,0.10613,0.584697,1.369673
69,0.575,0.106186,0.584447,1.369911
70,0.583333,0.106244,0.584165,1.370129
71,0.591667,0.10624,0.583849,1.370342
72,0.6,0.106321,0.583586,1.370463
73,0.608333,0.106385,0.583326,1.370679
74,0.616667,0.106504,0.583124,1.370994
75,0.625,0.106549,0.58276,1.371109
76,0.633333,0.106681,0.582691,1.371463
77,0.641667,0.106781,0.582419,1.371643
78,0.65,0.106864,0.58215,1.371876
79,0.658333,0.106878,0.581798,1.372025
80,0.666667,0.10694,0.581441,1.372268
81,0.675,0.107132,0.581426,1.372501
82,0.683333,0.107265,0.581036,1.372647
83,0.691667,0.107157,0.580754,1.37296
84,0.7,0.107333,0.580593,1.373248
85,0.708333,0.107623,0.580496,1.373404
86,0.716667,0.107388,0.579908,1.373609
87,0.725,0.107765,0.58012,1.373952
88,0.733333,0.107847,0.579874,1.37418
89,0.741667,0.107657,0.579066,1.374211
90,0.75,0.1078,0.578908,1.37452
91,0.758333,0.107869,0.578643,1.374754
92,0.766667,0.107934,0.578402,1.374982
93,0.775,0.108301,0.578604,1.375317
94,0.783333,0.108077,0.577919,1.375421
95,0.791667,0.108131,0.577646,1.375661
96,0.8,0.108268,0.577489,1.375897
97,0.808333,0.108262,0.577154,1.376038
98,0.816667,0.108294,0.577016,1.376356
99,0.825,0.108358,0.576697,1.376487
100,0.833333,0.1084,0.576578,1.376804
101,0.841667,0.108528,0.576469,1.377101
102,0.85,0.108579,0.576266,1.377318
103,0.858333,0.10863,0.576072,1.377545
104,0.866667,0.108639,0.575873,1.377768
105,0.875,0.108987,0.576128,1.378125
106,0.883333,0.108956,0.575868,1.378282
107,0.891667,0.108764,0.575322,1.378505
108,0.9,0.108814,0.575129,1.378747
109,0.908333,0.108803,0.574869,1.378906
110,0.916667,0.109155,0.57513,1.379265
111,0.925,0.109216,0.574955,1.379516
112,0.933333,0.109276,0.574771,1.379754
113,0.941667,0.109066,0.57414,1.379888
114,0.95,0.109128,0.573972,1.380131
115,0.958333,0.109499,0.574254,1.380483
116,0.966667,0.109632,0.574193,1.380801
117,0.975,0.109611,0.573923,1.380957
118,0.983333,0.109679,0.573741,1.381193
119,0.991667,0.109738,0.573542,1.38142
120,1.0,0.109791,0.573344,1.381667
121,1.008333,0.110499,0.574167,1.381575
122,1.016667,0.110566,0.573941,1.381808
123,1.025,0.1106,0.573763,1.382065
124,1.033333,0.110655,0.573547,1.382305
125,1.041667,0.110686,0.573353,1.382551
126,1.05,0.110791,0.573236,1.382867
127,1.058333,0.110089,0.571972,1.383359
128,1.066667,0.110771,0.57274,1.383291
129,1.075,0.110159,0.571555,1.383859
130,1.083333,0.110191,0.571355,1.384102
131,1.091667,0.110232,0.571039,1.384265
132,1.1,0.110256,0.570837,1.384496
133,1.108333,0.110275,0.57063,1.384729
134,1.116667,0.110289,0.570412,1.384957
135,1.125,0.110306,0.570202,1.385186
136,1.133333,0.110402,0.570068,1.385492
137,1.141667,0.110338,0.569768,1.385654
138,1.15,0.110339,0.569643,1.385975
139,1.158333,0.110067,0.568985,1.386102
140,1.166667,0.110084,0.568772,1.386328
141,1.175,0.110384,0.568989,1.386667
142,1.183333,0.111046,0.569791,1.386551
143,1.191667,0.11106,0.569593,1.386768
144,1.2,0.110395,0.568371,1.387343
145,1.208333,0.110411,0.568177,1.387563
146,1.216667,0.110425,0.567976,1.387786
147,1.225,0.110441,0.567777,1.388013
148,1.233333,0.110457,0.567549,1.388256
149,1.241667,0.110461,0.567344,1.388495
150,1.25,0.111111,0.568012,1.388332
151,1.258333,0.111117,0.567795,1.388571
152,1.266667,0.111087,0.567697,1.388903
153,1.275,0.11112,0.567412,1.389059
154,1.283333,0.11043,0.566343,1.389732
155,1.291667,0.110447,0.56603,1.389895
156,1.3,0.110153,0.565413,1.390043
157,1.308333,0.110413,0.565741,1.390491
158,1.316667,0.11044,0.565411,1.39067
159,1.325,0.110447,0.565217,1.390935
160,1.333333,0.110423,0.565008,1.391192
161,1.341667,0.110404,0.564798,1.391444
162,1.35,0.110352,0.564718,1.391785
163,1.358333,0.110361,0.564429,1.391954
164,1.366667,0.110311,0.564363,1.392317
165,1.375,0.110287,0.564213,1.392586
166,1.383333,0.110969,0.565008,1.392511
167,1.391667,0.110936,0.564853,1.392782
168,1.4,0.110976,0.564556,1.392918
169,1.408333,0.110841,0.564551,1.393339
170,1.416667,0.110823,0.564401,1.393608
171,1.425,0.110814,0.564274,1.393883
172,1.433333,0.110132,0.563141,1.394483
173,1.441667,0.11077,0.56399,1.394433
174,1.45,0.110118,0.562887,1.395018
175,1.458333,0.110127,0.562633,1.395208
176,1.466667,0.110086,0.562604,1.395543
177,1.475,0.110096,0.56234,1.39573
178,1.483333,0.110076,0.562207,1.395992
179,1.491667,0.11004,0.562079,1.39629
180,1.5,0.110646,0.562913,1.39621
181,1.508333,0.109999,0.561798,1.396774
182,1.516667,0.110605,0.562591,1.396681
183,1.525,0.10998,0.561504,1.39727
184,1.533333,0.10997,0.561364,1.397523
185,1.541667,0.109957,0.561205,1.397754
186,1.55,0.10998,0.561103,1.398034
187,1.558333,0.11011,0.561032,1.39823
188,1.566667,0.110005,0.560866,1.39855
189,1.575,0.109981,0.560727,1.398802
190,1.583333,0.110642,0.561552,1.398734
191,1.591667,0.110657,0.56133,1.398916
192,1.6,0.110636,0.561302,1.399253
193,1.608333,0.110669,0.561029,1.399433
194,1.616667,0.110681,0.56089,1.399688
195,1.625,0.110697,0.560865,1.399985
196,1.633333,0.110085,0.559766,1.400592
197,1.641667,0.110108,0.559636,1.400837
198,1.65,0.110106,0.559614,1.401168
199,1.658333,0.110132,0.559496,1.401408
200,1.666667,0.110155,0.559362,1.401648
201,1.675,0.110817,0.56021,1.40158
202,1.683333,0.110881,0.55997,1.401727
203,1.691667,0.110905,0.559853,1.401971
204,1.7,0.110913,0.559699,1.402214
205,1.708333,0.110957,0.559651,1.402526
206,1.716667,0.11098,0.559504,1.402749
207,1.725,0.110938,0.559385,1.403026
208,1.733333,0.11098,0.559249,1.403252
209,1.741667,0.111014,0.559113,1.403485
210,1.75,0.111125,0.558951,1.403697
211,1.758333,0.111132,0.558857,1.403944
212,1.766667,0.111228,0.558595,1.404083
213,1.775,0.111291,0.558467,1.404299
214,1.783333,0.111345,0.558328,1.404521
215,1.791667,0.111402,0.558193,1.404732
216,1.8,0.111441,0.558067,1.404954
