Frame,Time (Seconds),X.3,Y.3,Z.3
146,1.216667,0.574167,0.807268,0.695725
147,1.225,0.574193,0.807269,0.695769
148,1.233333,0.574273,0.807244,0.695803
149,1.241667,0.574255,0.807266,0.69584
150,1.25,0.574301,0.807266,0.695877
151,1.258333,0.574606,0.80706,0.695971
152,1.266667,0.575409,0.807009,0.696027
153,1.275,0.574418,0.807282,0.695949
154,1.283333,0.574462,0.807284,0.695985
155,1.291667,0.574545,0.807273,0.696029
156,1.3,0.574507,0.807305,0.696054
157,1.308333,0.57555,0.807073,0.696195
158,1.316667,0.575542,0.807101,0.696227
159,1.325,0.574678,0.807322,0.696189
160,1.333333,0.574687,0.807336,0.69623
161,1.341667,0.575023,0.807105,0.696301
162,1.35,0.574757,0.807355,0.6963
163,1.358333,0.575865,0.807091,0.696419
164,1.366667,0.574913,0.807334,0.696348
165,1.375,0.574941,0.807364,0.696379
166,1.383333,0.574989,0.807366,0.696406
167,1.391667,0.575092,0.807351,0.69644
168,1.4,0.575171,0.807334,0.696447
169,1.408333,0.575493,0.807134,0.696554
170,1.416667,0.575295,0.807349,0.696516
171,1.425,0.576654,0.806893,0.696707
172,1.433333,0.575776,0.80711,0.696655
173,1.441667,0.575808,0.807122,0.696687
174,1.45,0.57593,0.807096,0.696696
175,1.458333,0.575984,0.807101,0.696741
176,1.466667,0.576037,0.807101,0.696765
177,1.475,0.576129,0.807092,0.696769
178,1.483333,0.576187,0.807102,0.696811
179,1.491667,0.575938,0.807352,0.696778
180,1.5,0.576351,0.807094,0.69686
181,1.508333,0.576423,0.807097,0.696886
182,1.516667,0.576186,0.807338,0.696849
183,1.525,0.576267,0.807336,0.696869
184,1.533333,0.576677,0.807086,0.696959
185,1.541667,0.576427,0.807325,0.696916
186,1.55,0.576442,0.80735,0.696946
187,1.558333,0.57662,0.807286,0.696948
188,1.566667,0.576595,0.807327,0.696989
189,1.575,0.576708,0.807295,0.697016
190,1.583333,0.576724,0.807313,0.697049
191,1.591667,0.576808,0.807289,0.69708
192,1.6,0.576866,0.807299,0.697114
193,1.608333,0.576848,0.80733,0.697146
194,1.616667,0.578013,0.80703,0.697284
195,1.625,0.576955,0.807321,0.697205
196,1.633333,0.577309,0.807092,0.697307
197,1.641667,0.577044,0.807334,0.697281
198,1.65,0.577129,0.807318,0.697314
199,1.658333,0.577498,0.807087,0.69742
200,1.666667,0.578594,0.806833,0.697563
201,1.675,0.578673,0.806858,0.697655
202,1.683333,0.578727,0.806829,0.697679
203,1.691667,0.577772,0.807097,0.697612
204,1.7,0.578883,0.806831,0.697755
205,1.708333,0.578948,0.80684,0.697794
206,1.716667,0.57805,0.80708,0.697734
207,1.725,0.579132,0.806849,0.697887
208,1.733333,0.578227,0.807084,0.697822
209,1.741667,0.578296,0.807092,0.697863
210,1.75,0.578401,0.807082,0.697904
211,1.758333,0.578546,0.807062,0.697945
212,1.766667,0.578659,0.807053,0.69799
213,1.775,0.578772,0.807034,0.698025
214,1.783333,0.578847,0.807044,0.698066
215,1.791667,0.579007,0.807006,0.698104
216,1.8,0.579133,0.80699,0.698136
217,1.808333,0.579207,0.806991,0.698188
218,1.816667,0.579323,0.806979,0.698229
219,1.825,0.579453,0.806952,0.698273
220,1.833333,0.579516,0.806963,0.698305
221,1.841667,0.579337,0.807178,0.698297
222,1.85,0.579753,0.806934,0.698392
223,1.858333,0.579895,0.806914,0.698425
224,1.866667,0.580027,0.80689,0.698455
225,1.875,0.580098,0.806906,0.698474
226,1.883333,0.580203,0.806902,0.698495
227,1.891667,0.580379,0.806858,0.698511
228,1.9,0.580495,0.806848,0.698536
229,1.908333,0.580574,0.806846,0.698564
230,1.916667,0.580352,0.807074,0.698498
231,1.925,0.581297,0.806894,0.69863
232,1.933333,0.580812,0.80684,0.698619
233,1.941667,0.580959,0.806805,0.698641
234,1.95,0.581058,0.806794,0.698659
235,1.958333,0.581187,0.806762,0.698684
236,1.966667,0.580974,0.806993,0.698642
237,1.975,0.581399,0.806733,0.698733
238,1.983333,0.581492,0.80672,0.698756
239,1.991667,0.581617,0.806689,0.698783
240,2.0,0.581653,0.806699,0.698818
241,2.008333,0.581745,0.806747,0.698804
242,2.016667,0.581888,0.806655,0.69885
243,2.025,0.581941,0.80666,0.698865
244,2.033333,0.582014,0.806652,0.698871
