Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,0.275798,0.570433,-0.034689
1,0.008333,0.277265,0.569538,-0.034746
2,0.016667,0.277372,0.56938,-0.034737
3,0.025,0.27747,0.569241,-0.034728
4,0.033333,0.277549,0.569115,-0.034718
5,0.041667,0.27765,0.568984,-0.034717
6,0.05,0.277773,0.568847,-0.034713
7,0.058333,0.277872,0.568737,-0.034721
8,0.066667,0.277959,0.568646,-0.03473
9,0.075,0.278078,0.568537,-0.034732
10,0.083333,0.278191,0.568456,-0.034749
11,0.091667,0.278415,0.568314,-0.034792
12,0.1,0.278512,0.568212,-0.034801
13,0.108333,0.278625,0.568126,-0.034829
14,0.116667,0.278768,0.568037,-0.034863
15,0.125,0.278896,0.567954,-0.03489
16,0.133333,0.279012,0.567898,-0.034929
17,0.141667,0.279094,0.567835,-0.034965
18,0.15,0.279224,0.56778,-0.035005
19,0.158333,0.279332,0.567691,-0.035015
20,0.166667,0.279501,0.567661,-0.035099
21,0.175,0.279603,0.567592,-0.035107
22,0.183333,0.27972,0.567542,-0.035149
23,0.191667,0.279841,0.567501,-0.035214
24,0.2,0.279954,0.567444,-0.035269
25,0.208333,0.280085,0.567424,-0.03538
26,0.216667,0.280146,0.567345,-0.035418
27,0.225,0.280231,0.567301,-0.035499
28,0.233333,0.280311,0.567252,-0.035594
29,0.241667,0.280373,0.567215,-0.035679
30,0.25,0.280441,0.567143,-0.035762
31,0.258333,0.280535,0.567064,-0.035862
32,0.266667,0.280607,0.566999,-0.035949
33,0.275,0.280707,0.566961,-0.036062
34,0.283333,0.280702,0.5669,-0.036116
35,0.291667,0.280803,0.566875,-0.036233
36,0.3,0.280842,0.566837,-0.03632
37,0.308333,0.280873,0.566844,-0.036417
38,0.316667,0.280921,0.566805,-0.03651
39,0.325,0.2809,0.566781,-0.036564
40,0.333333,0.280965,0.566775,-0.036693
41,0.341667,0.280983,0.566756,-0.036784
42,0.35,0.28107,0.566658,-0.036894
43,0.358333,0.281039,0.566644,-0.037002
44,0.366667,0.281044,0.566616,-0.037112
45,0.375,0.281017,0.566606,-0.037192
46,0.383333,0.28102,0.566571,-0.037268
47,0.391667,0.281025,0.56653,-0.037347
48,0.4,0.281002,0.5665,-0.037416
