Frame,Time (Seconds),X.3,Y.3,Z.3
0,0.0,0.317123,0.830661,0.600081
1,0.008333,0.317193,0.830675,0.600131
2,0.016667,0.317028,0.830869,0.600183
3,0.025,0.317328,0.830701,0.600227
4,0.033333,0.317408,0.830706,0.600265
5,0.041667,0.31724,0.830914,0.600316
6,0.05,0.317307,0.830922,0.600356
7,0.058333,0.317381,0.830931,0.600403
8,0.066667,0.317454,0.830942,0.600444
9,0.075,0.317519,0.830947,0.600495
10,0.083333,0.317593,0.830958,0.60053
11,0.091667,0.317645,0.830966,0.600588
12,0.1,0.317715,0.830978,0.600622
13,0.108333,0.317764,0.830963,0.600691
14,0.116667,0.317827,0.830973,0.600739
15,0.125,0.317886,0.830982,0.600783
16,0.133333,0.317972,0.831021,0.600853
17,0.141667,0.3183,0.830804,0.600909
18,0.15,0.318371,0.830806,0.600953
19,0.158333,0.318435,0.830807,0.600996
20,0.166667,0.318478,0.830791,0.601001
21,0.175,0.318537,0.830796,0.601039
22,0.183333,0.318558,0.830776,0.601057
23,0.191667,0.318621,0.830784,0.601102
24,0.2,0.318667,0.830792,0.60114
25,0.208333,0.318713,0.830799,0.60117
26,0.216667,0.318753,0.830828,0.601262
27,0.225,0.318808,0.830849,0.601287
28,0.233333,0.318836,0.83085,0.601318
29,0.241667,0.31887,0.830863,0.601353
30,0.25,0.318886,0.830859,0.601397
31,0.258333,0.318936,0.830866,0.601412
32,0.266667,0.318955,0.830867,0.601458
33,0.275,0.318989,0.830872,0.601483
34,0.283333,0.319024,0.830883,0.601512
35,0.291667,0.319061,0.830886,0.60154
36,0.3,0.319094,0.830887,0.601568
37,0.308333,0.319129,0.830893,0.601595
38,0.316667,0.319158,0.830908,0.601622
39,0.325,0.3192,0.830911,0.601651
40,0.333333,0.319228,0.830922,0.601679
41,0.341667,0.319273,0.830936,0.601709
42,0.35,0.319298,0.830954,0.601743
43,0.358333,0.31934,0.830965,0.601772
44,0.366667,0.319364,0.830951,0.601823
45,0.375,0.319398,0.830955,0.601866
46,0.383333,0.319429,0.830969,0.601897
47,0.391667,0.319457,0.830971,0.60194
48,0.4,0.319499,0.830986,0.601968
49,0.408333,0.319523,0.830991,0.602007
50,0.416667,0.319546,0.830996,0.602049
51,0.425,0.319586,0.830997,0.602088
52,0.433333,0.319608,0.831007,0.602125
53,0.441667,0.319637,0.831017,0.602168
54,0.45,0.319668,0.831024,0.602205
55,0.458333,0.319692,0.831032,0.602247
56,0.466667,0.319727,0.83104,0.602283
57,0.475,0.319756,0.831045,0.602319
58,0.483333,0.319814,0.831052,0.602366
59,0.491667,0.319808,0.83106,0.602396
60,0.5,0.319841,0.831065,0.602431
61,0.508333,0.319893,0.831066,0.60248
62,0.516667,0.319922,0.831077,0.602517
63,0.525,0.319945,0.831078,0.602552
64,0.533333,0.319953,0.831081,0.602604
65,0.541667,0.319986,0.83108,0.60264
66,0.55,0.320012,0.831089,0.602667
